"","funds_lost","funds_returned","scamNetworks","scam_type_grouped"
"582",270000,0,"Binance","Exploit"
"583",0,0,"Binance","Exit Scam"
"584",0,0,"Binance","Exit Scam"
"585",0,0,"Binance","Exit Scam"
"586",0,0,"Ethereum","Exit Scam"
"587",0,0,"Binance","Exit Scam"
"588",0,0,"Ethereum","Exit Scam"
"589",0,0,"Ethereum","Exit Scam"
"590",131892,0,"Binance","Exit Scam"
"591",0,0,"Ethereum","Exit Scam"
"592",0,0,"Ethereum","Exit Scam"
"593",0,0,"Ethereum","Exit Scam"
"594",8270,0,"Centralized","Exploit"
"595",122960,0,"Binance","Exploit"
"596",0,0,"Binance","Exit Scam"
"597",0,0,"Binance","Exit Scam"
"598",0,0,"Binance","Exit Scam"
"599",0,0,"Binance","Exit Scam"
"600",0,0,"Binance","Exit Scam"
"601",0,0,"Ethereum","Exit Scam"
"602",0,0,"Binance","Exit Scam"
"603",0,0,"Ethereum","Exit Scam"
"604",0,0,"Ethereum","Exit Scam"
"605",0,0,"Ethereum","Exit Scam"
"606",0,0,"Binance","Exit Scam"
"607",7.7e+07,0,"Binance","Exploit"
"608",0,0,"Binance","Exit Scam"
"609",92360,0,"Ethereum","Exit Scam"
"610",0,0,"Binance","Exit Scam"
"611",47000,0,"Ethereum, Binance","Exploit"
"612",0,0,"Binance","Exit Scam"
"613",0,0,"Binance","Exit Scam"
"614",0,0,"Ethereum","Exploit"
"615",0,0,"Ethereum","Exit Scam"
"616",170217,0,"Ethereum","Exit Scam"
"617",2720,0,"Ethereum","Exit Scam"
"618",0,0,"Binance","Exit Scam"
"619",0,0,"Binance","Exit Scam"
"620",0,0,"Binance","Exit Scam"
"621",303000,0,"Centralized","Exploit"
"622",83960,0,"Binance","Exit Scam"
"623",8780,0,"Ethereum","Exit Scam"
"624",0,0,"Binance","Exit Scam"
"625",0,0,"Binance","Exit Scam"
"626",0,0,"Ethereum","Exit Scam"
"627",0,0,"Binance","Exit Scam"
"628",0,0,"Binance","Exit Scam"
"629",130943,0,"Binance","Exit Scam"
"630",7805,0,"Ethereum","Exit Scam"
"631",0,0,"Binance","Exit Scam"
"632",0,0,"Binance","Exit Scam"
"633",0,0,"Binance","Exit Scam"
"634",0,0,"Ethereum","Exit Scam"
"635",0,0,"Ethereum","Exit Scam"
"636",2150414,0,"Binance","Exploit"
"637",0,0,"Binance","Exit Scam"
"638",0,0,"Binance","Exit Scam"
"639",0,0,"Binance","Exit Scam"
"640",0,0,"Binance","Exit Scam"
"641",0,0,"Ethereum","Exit Scam"
"642",0,0,"Binance","Exit Scam"
"643",4025,0,"Ethereum","Exit Scam"
"644",0,0,"Binance","Exit Scam"
"645",0,0,"Binance","Exit Scam"
"646",0,0,"Binance","Exit Scam"
"647",0,0,"Binance","Exit Scam"
"648",2100000,0,"Binance","Exploit"
"649",0,0,"Binance","Exit Scam"
"650",0,0,"Binance","Exit Scam"
"651",1055,0,"Ethereum","Exit Scam"
"652",2e+06,0,"Cronos","Exploit"
"653",4364612,0,"Ethereum","Exploit"
"654",0,0,"Binance","Exit Scam"
"655",134120,0,"Binance","Exit Scam"
"656",0,0,"Binance","Exit Scam"
"657",0,0,"Binance","Exit Scam"
"658",0,0,"Binance","Exit Scam"
